0:0:0:0:0:0:0:1 - - [14/Jan/2023:10:45:23 -0300] "GET /users HTTP/1.1" 404 692
0:0:0:0:0:0:0:1 - - [14/Jan/2023:10:48:19 -0300] "GET /ExamenLogin/index.jsp HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [14/Jan/2023:10:48:19 -0300] "GET /img/iplacex.png HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [14/Jan/2023:13:22:50 -0300] "GET /img/iplacex.png HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [14/Jan/2023:13:52:48 -0300] "GET /img/iplacex.png HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [14/Jan/2023:14:17:02 -0300] "GET /img/iplacex.png HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [14/Jan/2023:14:19:46 -0300] "GET /ExamenLogin/index.jsp HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [14/Jan/2023:14:19:46 -0300] "GET /img/iplacex.png HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [14/Jan/2023:16:04:50 -0300] "GET /img/iplacex.png HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:21:49 -0300] "GET /img/iplacex.png HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:21:52 -0300] "GET /ExamenLogin/index.jsp HTTP/1.1" 200 23891
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:21:52 -0300] "GET /ExamenLogin/css/index-styles.css HTTP/1.1" 200 211255
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:21:54 -0300] "GET /ExamenLogin/js/scripts.js HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:21:55 -0300] "GET /ExamenLogin/assets/img/avataaars.svg HTTP/1.1" 200 12807
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:21:55 -0300] "GET /ExamenLogin/assets/img/portfolio/cabin.png HTTP/1.1" 200 36514
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:21:55 -0300] "GET /ExamenLogin/assets/img/portfolio/cake.png HTTP/1.1" 200 17068
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:21:55 -0300] "GET /ExamenLogin/assets/img/portfolio/circus.png HTTP/1.1" 200 27984
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:21:55 -0300] "GET /ExamenLogin/assets/img/portfolio/game.png HTTP/1.1" 200 25896
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:21:55 -0300] "GET /ExamenLogin/assets/img/portfolio/safe.png HTTP/1.1" 200 19240
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:21:55 -0300] "GET /ExamenLogin/assets/img/portfolio/submarine.png HTTP/1.1" 200 24330
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:21:56 -0300] "GET /ExamenLogin/assets/favicon.ico HTTP/1.1" 200 23462
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:27:06 -0300] "GET /ExamenLogin/login.jsp HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:27:06 -0300] "GET /ExamenLogin/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:27:06 -0300] "GET /ExamenLogin/images/signin-image.jpg HTTP/1.1" 200 21118
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:27:06 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:27:06 -0300] "GET /ExamenLogin/css/style.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:27:06 -0300] "GET /ExamenLogin/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:27:06 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-300italic.eot? HTTP/1.1" 200 10018
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:27:06 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-300.eot? HTTP/1.1" 200 8696
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:27:06 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-italic.eot? HTTP/1.1" 200 10007
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:27:06 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-regular.eot? HTTP/1.1" 200 8692
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:27:06 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-500italic.eot? HTTP/1.1" 200 10148
0:0:0:0:0:0:0:1 - - [14/Jan/2023:21:27:06 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-500.eot? HTTP/1.1" 200 8716
